balanco-brasil,media-2015,media-2016,media-2017,media-2018,media-2019,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,media-2020
Produção nacional,"96,24","103,80","109,86","111,94","122,43","138,75","128,94","121,75","124,01","114,37","128,47","130,33","134,11","125,26","130,05","126,40",,"127,49"
Reinjeção,"24,29","30,24","27,61","35,10","43,17","52,08","49,76","56,04","56,34","49,18","54,69","57,25","59,59","55,02","58,12","55,09",,"54,83"
Queima e perda,"3,83","4,05","3,77","3,72","4,36","4,03","3,64","3,40","2,72","2,78","3,13","4,00","3,99","3,48","3,03","3,14",,"3,40"
Consumo nas unidades de E&P,"12,20","12,89","13,44","13,74","14,16","15,27","14,66","14,87","14,90","14,29","14,85","14,69","14,99","14,37","14,61","14,07",,"14,69"
"Absorção em UPGNs (GLP, C5+)","3,77","4,21","4,58","4,29","4,21","4,84","4,66","4,33","4,45","4,10","4,40","4,28","4,29","4,18","3,79","3,95",,"4,30"
OFERTA NACIONAL,"52,15","52,40","60,46","55,09","56,53","62,52","56,20","43,11","45,59","44,03","51,40","50,11","51,24","48,21","50,50","50,14",,"50,28"
Importação - Bolívia,"32,03","28,33","24,33","22,11","18,67","28,79","17,10","13,88","10,38","11,25","14,60","15,97","17,89","18,52","22,46","22,50",,"17,58"
Regaseificação de GNL,"17,94","3,81","5,05","6,92","8,28","3,22","7,94","13,80","1,41","2,05","0,25","0,74","0,75","1,97","17,06","27,98",,"7,01"
OFERTA IMPORTADA,"50,43","32,13","29,37","29,03","26,95","32,01","25,04","27,68","11,78","13,30","14,84","16,72","18,65","20,49","39,52","50,48",,"24,59"
OFERTA TOTAL,"102,58","84,54","89,83","84,12","83,48","94,53","81,25","70,78","57,37","57,33","66,24","66,83","69,89","68,70","90,02","100,62",,"74,87"
Consumo - GASBOL,"1,19","1,09","0,79","0,63","0,52","1,09","0,39","0,34","0,16","0,18","0,24","0,32","0,37","0,46","0,48","0,41",,"0,41"
"Consumo em outros gasodutos, desequilibrio, perdas e ajustes","2,75","3,18","3,48","4,64","5,03","6,19","7,28","5,64","3,11","2,38","5,23","4,24","3,51","1,74","1,44","5,25",,"4,18"
"Consumo nos gasodutos, desequilíbrio, perdas e ajustes","3,94","4,28","4,27","5,27","5,55","7,27","7,67","5,98","3,27","2,56","5,48","4,56","3,88","2,20","1,92","5,66",,"4,59"
