balanco-gas-natural,media-2016,media-2017,media-2018,media-2019,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,media-2020
Produção na malha interligada,"84,54","92,41","93,78","103,37","115,60","110,23","107,13","109,71","101,54","113,18","114,89","118,10","110,59","109,54","105,65",,"110,56"
Reinjeção,"21,81","20,08","27,31","35,25","45,07","43,66","48,83","49,79","44,11","49,44","51,15","53,26","49,82","52,25","49,49",,"48,81"
Queima e perda,"3,75","3,49","3,53","4,13","3,75","3,39","3,13","2,49","2,58","2,95","3,81","3,80","3,28","2,89","2,97",,"3,19"
"Consumo nas unidades de E&P + Absorção em UPGNs (GLP, C5+)","15,80","16,77","16,67","17,02","18,75","18,04","17,90","18,06","17,13","18,04","17,76","18,01","17,36","17,15","16,89",,"17,73"
OFERTA NA MALHA INTERLIGADA,"43,18","52,07","46,27","46,97","48,03","45,14","37,28","39,37","37,73","42,75","42,17","43,03","40,13","37,25","36,30",,"40,83"
Importação - Bolívia,"28,33","24,33","22,11","18,67","28,79","17,10","13,88","10,38","11,25","14,60","15,97","17,89","18,52","22,46","22,50",,"17,58"
Regaseificação de GNL,"3,81","5,05","6,92","8,28","3,22","7,94","13,80","1,41","2,05","0,25","0,74","0,75","1,97","17,06","27,98",,"7,01"
OFERTA IMPORTADA,"32,13","29,37","29,03","26,95","32,01","25,04","27,68","11,78","13,30","14,84","16,72","18,65","20,49","39,52","50,48",,"24,59"
TOTAL OFERTA,"75,32","81,44","75,30","73,92","80,04","70,18","64,95","51,15","51,03","57,59","58,89","61,68","60,62","76,77","86,78",,"65,43"
Consumo - GASBOL,"1,09","0,79","0,63","0,52","1,09","0,39","0,34","0,16","0,18","0,24","0,32","0,37","0,46","0,48","0,41",,"0,41"
"Consumo em outros gasodutos, desequilibrio, perdas e ajustes","2,23","2,62","3,67","3,83","4,81","5,97","4,44","1,95","1,34","4,04","3,10","2,36","0,76","0,13","4,10",,"3,00"
"Consumo nos gasodutos, desequilíbrio, perdas e ajustes","3,32","3,41","4,30","4,35","5,90","6,36","4,78","2,11","1,52","4,28","3,42","2,73","1,23","0,62","4,51",,"3,41"
